Order,Family,Species name,Taxonomic authority,Common name,taxon_id,assessment_id,European category,EU 27 regional category,Endemic to Europe,Endemic to EU 27,Link to assessment
Squamata,Gekkonidae,Mediodactylus kotschyi,"(Steindachner, 1870)",Kotschy's Gecko,200133383,200133456,LC,LC,Yes,No,https://www.iucnredlist.org/species/200133383/200133456
Squamata,Gekkonidae,Mediodactylus oertzeni,"(Boettger, 1888)",,204784589,204784677,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/204784589/204784677
Squamata,Gekkonidae,Mediodactylus orientalis,"(Stepánek, 1937)",Mediterranean Thin-toed Gecko,204785101,204785120,LC,LC,No,No,https://www.iucnredlist.org/species/204785101/204785120
Squamata,Viperidae,Montivipera xanthina,"(Gray, 1849)",Ottoman Viper,61537,207990775,LC,LC,No,No,https://www.iucnredlist.org/species/61537/207990775
Squamata,Natricidae,Natrix astreptophora,"(Seoane, 1884)",Red-eyed Grass Snake,165594036,207063147,LC,LC,No,No,https://www.iucnredlist.org/species/165594036/207063147
Squamata,Natricidae,Natrix helvetica,"(Lacépède, 1789)",European Grass Snake,165594257,165594282,LC,LC,Yes,No,https://www.iucnredlist.org/species/165594257/165594282
Squamata,Natricidae,Natrix maura,"(Linnaeus, 1758)",Viperine Snake,61538,207658281,LC,LC,No,No,https://www.iucnredlist.org/species/61538/207658281
Squamata,Natricidae,Natrix natrix,"(Linnaeus, 1758)",Grass Snake,165594334,207658588,LC,LC,No,No,https://www.iucnredlist.org/species/165594334/207658588
Squamata,Natricidae,Natrix tessellata,"(Laurenti, 1768)",Dice Snake,157256,207993095,LC,LC,No,No,https://www.iucnredlist.org/species/157256/207993095
Squamata,Scincidae,Ophiomorus kardesi,"Kornilios, Kumlutas, Lymberakis & Ilgaz, 2018",Anatolian Limbless Skink,182563569,207673254,DD,DD,No,No,https://www.iucnredlist.org/species/182563569/207673254
Squamata,Scincidae,Ophiomorus punctatissimus,"(Bibron & Bory, 1833)","
Greek Snake Skink",182564317,137854561,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/182564317/137854561
Squamata,Lacertidae,Ophisops elegans,"Ménétries, 1832",Snake-eyed Lizard,157279,204874584,LC,LC,No,No,https://www.iucnredlist.org/species/157279/204874584
Squamata,Lacertidae,Parvilacerta parva,"(Boulenger, 1887)",Dwarf Lizard,164674,207995920,NA,Not recorded,No,No,https://www.iucnredlist.org/species/164674/207995920
Testudines,Trionychidae,Pelodiscus sinensis,"Wiegmann, 1835",Chinese Softshell Turtle,39620,207996290,NA,Not recorded,No,No,https://www.iucnredlist.org/species/39620/207996290
Squamata,Lacertidae,Phoenicolacerta troodica,"(Werner, 1936)",Troodos Wall Lizard,157276,207653823,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/157276/207653823
Squamata,Agamidae,Phrynocephalus guttatus,"(Gmelin, 1789)",Spotted Toadhead Agama,157278,128895072,LC,Not recorded,No,No,https://www.iucnredlist.org/species/157278/128895072
Squamata,Agamidae,Phrynocephalus helioscopus,"(Pallas, 1773)",Sunwatcher,48835941,200006718,VU,Not recorded,No,No,https://www.iucnredlist.org/species/48835941/200006718
Squamata,Agamidae,Phrynocephalus mystaceus,"(Pallas, 1776)",Toad-headed Agama,157250,204679413,LC,Not recorded,No,No,https://www.iucnredlist.org/species/157250/204679413
Squamata,Colubridae,Platyceps collaris,"(Müller, 1878)",Collared Dwarf Racer,61543,207646198,LC,NA,No,No,https://www.iucnredlist.org/species/61543/207646198
Squamata,Colubridae,Platyceps najadum,"(Eichwald, 1831)",Dahl's Whip Snake,157277,207994241,LC,LC,No,No,https://www.iucnredlist.org/species/157277/207994241
Squamata,Lacertidae,Podarcis bocagei,"(Seoane, 1884)",Bocage's Wall Lizard,61544,137854953,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61544/137854953
Squamata,Lacertidae,Podarcis carbonelli,"Pérez Mellado, 1981",Carbonelli's Wall Lizard,61545,137855053,VU,VU,Yes,Yes,https://www.iucnredlist.org/species/61545/137855053
Squamata,Lacertidae,Podarcis cretensis,"(Wettstein, 1952)",Κλωστιδάκι,157252,207654264,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/157252/207654264
Squamata,Lacertidae,Podarcis erhardii,"(Bedriaga, 1882)","
Erhard's Wall Lizard",207598021,137855176,LC,LC,Yes,No,https://www.iucnredlist.org/species/207598021/137855176
